,date_time,open,close,label
0,2000-01-03,1481.5,1466.75,-1
1,2000-01-04,1464.75,1411.5,-1
2,2000-01-05,1407.75,1413.0,1
3,2000-01-06,1399.5,1404.75,1
4,2000-01-07,1404.25,1459.75,1
5,2000-01-10,1459.75,1474.25,1
6,2000-01-11,1473.0,1454.0,-1
7,2000-01-12,1452.0,1441.5,-1
8,2000-01-13,1445.0,1459.0,1
9,2000-01-14,1459.75,1478.25,1
10,2000-01-18,1478.5,1469.25,-1
11,2000-01-19,1463.75,1472.5,1
12,2000-01-20,1481.5,1456.25,-1
13,2000-01-21,1452.5,1454.0,1
14,2000-01-24,1458.0,1412.75,-1
15,2000-01-25,1412.5,1419.0,1
16,2000-01-26,1418.0,1416.0,-1
17,2000-01-27,1414.25,1410.75,-1
18,2000-01-28,1413.5,1367.0,-1
19,2000-01-31,1370.0,1400.75,1
20,2000-02-01,1401.75,1416.75,1
21,2000-02-02,1418.0,1414.25,-1
22,2000-02-03,1416.5,1436.0,1
23,2000-02-04,1438.0,1431.25,-1
24,2000-02-07,1427.25,1427.0,-1
25,2000-02-08,1425.75,1445.75,1
26,2000-02-09,1449.75,1418.5,-1
27,2000-02-10,1417.0,1418.5,1
28,2000-02-11,1420.75,1396.0,-1
29,2000-02-14,1395.5,1398.25,1
30,2000-02-15,1398.25,1409.25,1
31,2000-02-16,1412.5,1392.75,-1
32,2000-02-17,1394.75,1385.5,-1
33,2000-02-18,1386.5,1354.0,-1
34,2000-02-22,1352.25,1348.5,-1
35,2000-02-23,1351.0,1364.0,1
36,2000-02-24,1367.0,1355.5,-1
37,2000-02-25,1356.5,1337.75,-1
38,2000-02-28,1340.5,1348.25,1
39,2000-02-29,1350.25,1372.0,1
40,2000-03-01,1373.5,1384.75,1
41,2000-03-02,1382.25,1385.0,1
42,2000-03-03,1385.25,1410.5,1
43,2000-03-06,1411.0,1395.0,-1
44,2000-03-07,1394.75,1352.0,-1
45,2000-03-08,1353.75,1365.75,1
46,2000-03-09,1366.25,1404.0,1
47,2000-03-10,1403.5,1399.0,-1
48,2000-03-13,1412.25,1401.75,-1
49,2000-03-14,1400.5,1380.5,-1
50,2000-03-15,1379.25,1412.75,1
51,2000-03-16,1416.0,1479.5,1
52,2000-03-17,1476.0,1488.5,1
53,2000-03-20,1487.0,1478.0,-1
54,2000-03-21,1479.75,1507.75,1
55,2000-03-22,1507.0,1518.0,1
56,2000-03-23,1516.0,1544.25,1
57,2000-03-24,1543.0,1555.5,1
58,2000-03-27,1552.0,1539.0,-1
59,2000-03-28,1541.25,1529.25,-1
60,2000-03-29,1530.25,1530.0,-1
61,2000-03-30,1528.0,1504.5,-1
62,2000-03-31,1506.5,1517.5,1
63,2000-04-03,1513.0,1528.5,1
64,2000-04-04,1529.5,1518.25,-1
65,2000-04-05,1515.75,1505.0,-1
66,2000-04-06,1501.75,1516.5,1
67,2000-04-07,1519.75,1529.5,1
68,2000-04-10,1530.0,1521.0,-1
69,2000-04-11,1518.5,1517.75,-1
70,2000-04-12,1519.75,1475.75,-1
71,2000-04-13,1479.0,1456.0,-1
72,2000-04-14,1455.0,1367.25,-1
73,2000-04-17,1349.0,1413.5,1
74,2000-04-18,1409.75,1452.5,1
75,2000-04-19,1449.0,1440.5,-1
76,2000-04-20,1442.75,1446.75,1
77,2000-04-24,1439.0,1437.5,-1
78,2000-04-25,1440.0,1489.5,1
79,2000-04-26,1486.25,1474.0,-1
80,2000-04-27,1473.25,1468.0,-1
81,2000-04-28,1469.5,1460.5,-1
82,2000-05-01,1458.75,1476.75,1
83,2000-05-02,1477.25,1451.5,-1
84,2000-05-03,1446.0,1422.5,-1
85,2000-05-04,1424.5,1423.5,-1
86,2000-05-05,1423.75,1440.0,1
87,2000-05-08,1435.0,1430.75,-1
88,2000-05-09,1431.25,1419.25,-1
89,2000-05-10,1421.0,1388.5,-1
90,2000-05-11,1383.5,1415.5,1
91,2000-05-12,1417.0,1431.25,1
92,2000-05-15,1429.5,1457.5,1
93,2000-05-16,1457.75,1471.75,1
94,2000-05-17,1467.0,1456.75,-1
95,2000-05-18,1452.0,1441.75,-1
96,2000-05-19,1439.5,1415.5,-1
97,2000-05-22,1411.5,1404.5,-1
98,2000-05-23,1405.5,1382.5,-1
99,2000-05-24,1383.25,1402.25,1
100,2000-05-25,1402.75,1389.25,-1
101,2000-05-26,1388.0,1382.25,-1
