,date_time,close,label
0,2000-01-03,1466.75,0
1,2000-01-04,1411.5,1
2,2000-01-05,1413.0,0
3,2000-01-06,1404.75,1
4,2000-01-07,1459.75,1
5,2000-01-10,1474.25,0
6,2000-01-11,1454.0,0
7,2000-01-12,1441.5,1
8,2000-01-13,1459.0,1
9,2000-01-14,1478.25,0
10,2000-01-18,1469.25,1
11,2000-01-19,1472.5,0
12,2000-01-20,1456.25,0
13,2000-01-21,1454.0,0
14,2000-01-24,1412.75,1
15,2000-01-25,1419.0,0
16,2000-01-26,1416.0,0
17,2000-01-27,1410.75,0
18,2000-01-28,1367.0,1
19,2000-01-31,1400.75,1
20,2000-02-01,1416.75,0
21,2000-02-02,1414.25,1
22,2000-02-03,1436.0,0
23,2000-02-04,1431.25,0
24,2000-02-07,1427.0,1
25,2000-02-08,1445.75,0
26,2000-02-09,1418.5,0
27,2000-02-10,1418.5,0
28,2000-02-11,1396.0,1
29,2000-02-14,1398.25,1
30,2000-02-15,1409.25,0
31,2000-02-16,1392.75,0
32,2000-02-17,1385.5,0
33,2000-02-18,1354.0,0
34,2000-02-22,1348.5,1
35,2000-02-23,1364.0,0
36,2000-02-24,1355.5,0
37,2000-02-25,1337.75,1
38,2000-02-28,1348.25,1
39,2000-02-29,1372.0,1
40,2000-03-01,1384.75,0
41,2000-03-02,1385.0,1
42,2000-03-03,1410.5,0
43,2000-03-06,1395.0,0
44,2000-03-07,1352.0,1
45,2000-03-08,1365.75,1
46,2000-03-09,1404.0,0
47,2000-03-10,1399.0,1
48,2000-03-13,1401.75,0
49,2000-03-14,1380.5,1
50,2000-03-15,1412.75,1
51,2000-03-16,1479.5,1
52,2000-03-17,1488.5,0
53,2000-03-20,1478.0,1
54,2000-03-21,1507.75,1
55,2000-03-22,1518.0,1
56,2000-03-23,1544.25,1
57,2000-03-24,1555.5,0
58,2000-03-27,1539.0,0
59,2000-03-28,1529.25,0
60,2000-03-29,1530.0,0
61,2000-03-30,1504.5,1
62,2000-03-31,1517.5,1
63,2000-04-03,1528.5,0
64,2000-04-04,1518.25,0
65,2000-04-05,1505.0,1
66,2000-04-06,1516.5,1
67,2000-04-07,1529.5,0
68,2000-04-10,1521.0,0
69,2000-04-11,1517.75,0
70,2000-04-12,1475.75,0
71,2000-04-13,1456.0,0
72,2000-04-14,1367.25,1
73,2000-04-17,1413.5,1
74,2000-04-18,1452.5,0
75,2000-04-19,1440.5,1
76,2000-04-20,1446.75,0
77,2000-04-24,1437.5,1
78,2000-04-25,1489.5,0
79,2000-04-26,1474.0,0
80,2000-04-27,1468.0,0
81,2000-04-28,1460.5,1
82,2000-05-01,1476.75,0
83,2000-05-02,1451.5,0
84,2000-05-03,1422.5,0
85,2000-05-04,1423.5,1
86,2000-05-05,1440.0,0
87,2000-05-08,1430.75,0
88,2000-05-09,1419.25,0
89,2000-05-10,1388.5,1
90,2000-05-11,1415.5,1
91,2000-05-12,1431.25,1
92,2000-05-15,1457.5,1
93,2000-05-16,1471.75,0
94,2000-05-17,1456.75,0
95,2000-05-18,1441.75,0
96,2000-05-19,1415.5,0
97,2000-05-22,1404.5,0
98,2000-05-23,1382.5,1
99,2000-05-24,1402.25,0
100,2000-05-25,1389.25,0
101,2000-05-26,1382.25,1
102,2000-05-30,1427.25,0
103,2000-05-31,1422.0,1
104,2000-06-01,1451.75,1
105,2000-06-02,1475.75,0
106,2000-06-05,1470.75,0
107,2000-06-06,1463.5,1
108,2000-06-07,1472.5,0
109,2000-06-08,1466.75,0
110,2000-06-09,1462.5,1
111,2000-06-12,1469.0,1
112,2000-06-13,1494.25,1
113,2000-06-14,1497.25,0
114,2000-06-15,1498.25,0
115,2000-06-16,1488.0,1
116,2000-06-19,1505.25,0
117,2000-06-20,1499.0,0
118,2000-06-21,1498.75,0
119,2000-06-22,1476.25,0
120,2000-06-23,1464.0,1
121,2000-06-26,1479.0,0
122,2000-06-27,1471.0,0
123,2000-06-28,1470.25,0
124,2000-06-29,1458.25,1
125,2000-06-30,1470.5,1
126,2000-07-03,1490.5,0
127,2000-07-05,1463.0,1
128,2000-07-06,1474.0,1
129,2000-07-07,1494.5,0
130,2000-07-10,1491.75,1
131,2000-07-11,1495.0,1
132,2000-07-12,1505.75,1
