,Date,Time,Open,High,Low,Close
0,01/03/2000,00:00,7793.5,7815.5,7372.5,7410.0
1,01/04/2000,00:00,7405.5,7405.5,7161.5,7235.5
2,01/05/2000,00:00,7072.5,7227.5,7068.5,7137.5
3,01/06/2000,00:00,7129.5,7182.5,7043.5,7111.0
4,01/07/2000,00:00,7165.5,7440.5,7154.5,7435.5
5,01/10/2000,00:00,7535.5,7624.5,7507.5,7565.5
6,01/11/2000,00:00,7545.5,7586.5,7466.5,7544.0
7,01/12/2000,00:00,7465.5,7552.0,7434.0,7538.5
8,01/13/2000,00:00,7545.5,7750.5,7529.0,7614.5
9,01/14/2000,00:00,7655.5,7851.5,7655.5,7834.5
10,01/17/2000,00:00,7868.5,7931.5,7752.0,7912.5
11,01/18/2000,00:00,7912.5,7943.5,7695.5,7728.5
12,01/19/2000,00:00,7695.5,7754.5,7620.5,7733.5
13,01/20/2000,00:00,7821.5,7833.0,7713.0,7745.5
14,01/21/2000,00:00,7675.5,7738.5,7568.5,7621.0
15,01/24/2000,00:00,7665.5,7725.5,7552.5,7555.5
16,01/25/2000,00:00,7486.5,7538.5,7447.5,7496.5
17,01/26/2000,00:00,7521.5,7610.0,7464.5,7595.0
18,01/27/2000,00:00,7629.5,7802.5,7568.5,7765.5
19,01/28/2000,00:00,7745.5,7850.0,7670.5,7700.5
20,01/31/2000,00:00,7634.5,7638.0,7439.5,7463.5
21,02/01/2000,00:00,7566.5,7660.5,7524.5,7646.5
22,02/02/2000,00:00,7704.5,7786.5,7656.5,7785.0
23,02/03/2000,00:00,7805.5,7973.5,7758.0,7963.5
24,02/04/2000,00:00,8023.0,8079.5,7951.5,8008.5
25,02/07/2000,00:00,8006.5,8033.0,7873.5,7921.0
26,02/08/2000,00:00,7913.5,8183.5,7905.5,8147.5
27,02/09/2000,00:00,8168.5,8291.5,8141.5,8264.5
28,02/10/2000,00:00,8151.5,8298.5,8134.0,8279.5
29,02/11/2000,00:00,8353.5,8440.5,8201.5,8315.5
30,02/14/2000,00:00,8206.5,8289.0,8170.5,8259.5
31,02/15/2000,00:00,8264.5,8312.0,8035.5,8047.0
32,02/16/2000,00:00,8168.0,8190.5,7970.5,8132.0
33,02/17/2000,00:00,8129.5,8257.5,8011.0,8245.5
34,02/18/2000,00:00,8213.5,8282.5,8169.0,8206.0
35,02/21/2000,00:00,8088.5,8178.5,8065.5,8172.5
36,02/22/2000,00:00,8165.5,8338.5,8156.5,8235.0
37,02/23/2000,00:00,8265.0,8391.5,8254.5,8317.0
38,02/24/2000,00:00,8395.5,8429.5,8193.5,8245.5
39,02/25/2000,00:00,8358.5,8398.5,8270.5,8393.5
40,02/28/2000,00:00,8345.5,8370.5,8107.0,8195.5
41,02/29/2000,00:00,8255.5,8322.0,8229.5,8293.5
42,03/01/2000,00:00,8341.5,8383.5,8232.5,8330.5
43,03/02/2000,00:00,8345.0,8565.5,8241.0,8560.5
44,03/03/2000,00:00,8545.5,8638.5,8496.0,8576.0
45,03/06/2000,00:00,8580.5,8617.5,8540.5,8584.5
46,03/07/2000,00:00,8644.5,8741.5,8531.0,8668.5
47,03/08/2000,00:00,8608.5,8721.5,8560.5,8585.5
48,03/09/2000,00:00,8662.5,8680.5,8487.0,8572.5
49,03/10/2000,00:00,8655.5,8664.5,8562.0,8594.5
50,03/13/2000,00:00,8545.5,8545.5,8250.5,8298.0
51,03/14/2000,00:00,8335.5,8360.5,8251.5,8265.5
52,03/15/2000,00:00,8165.5,8198.5,8017.5,8051.5
53,03/16/2000,00:00,8125.5,8246.0,8073.0,8203.5
54,03/17/2000,00:00,8440.5,8483.0,8223.5,8384.5
55,03/20/2000,00:00,8422.5,8536.5,8388.0,8524.5
56,03/21/2000,00:00,8505.5,8512.0,8392.0,8463.5
57,03/22/2000,00:00,8526.5,8603.0,8437.0,8453.5
58,03/23/2000,00:00,8492.0,8515.5,8322.5,8406.5
59,03/24/2000,00:00,8458.5,8568.5,8400.5,8559.5
60,03/27/2000,00:00,8565.5,8585.5,8483.0,8552.0
61,03/28/2000,00:00,8545.5,8688.5,8537.5,8577.5
62,03/29/2000,00:00,8567.5,8617.0,8512.5,8541.5
63,03/30/2000,00:00,8435.5,8447.5,8266.5,8303.5
64,03/31/2000,00:00,8280.5,8358.5,8170.5,8210.5
65,04/03/2000,00:00,8216.5,8288.5,8049.0,8080.0
66,04/04/2000,00:00,8125.5,8213.5,8108.5,8187.5
67,04/05/2000,00:00,8127.5,8183.0,7850.5,7951.5
68,04/06/2000,00:00,8012.5,8119.5,7957.5,8093.5
69,04/07/2000,00:00,8125.5,8165.5,8032.0,8155.5
70,04/10/2000,00:00,8205.5,8245.5,8143.0,8170.5
71,04/11/2000,00:00,8020.5,8118.0,8010.5,8080.0
72,04/12/2000,00:00,8107.5,8153.0,8047.0,8055.5
73,04/13/2000,00:00,7955.5,8083.5,7928.5,8079.5
74,04/14/2000,00:00,7985.5,8040.5,7795.5,7830.5
75,04/17/2000,00:00,7585.5,7820.5,7542.5,7809.5
76,04/18/2000,00:00,7879.5,7891.0,7724.0,7852.5
77,04/19/2000,00:00,7925.5,7930.0,7770.5,7838.0
78,04/20/2000,00:00,7837.5,7862.0,7797.5,7825.5
79,04/25/2000,00:00,7796.5,7964.0,7721.5,7928.5
80,04/26/2000,00:00,7975.5,8078.5,7939.0,8011.0
81,04/27/2000,00:00,8010.5,8050.0,7778.5,7825.5
82,04/28/2000,00:00,7925.5,8066.5,7896.5,8066.5
83,05/02/2000,00:00,8100.5,8197.0,8095.5,8185.5
84,05/03/2000,00:00,8128.5,8204.0,7980.5,7985.5
85,05/04/2000,00:00,7990.5,8054.5,7946.5,8014.0
86,05/05/2000,00:00,8035.5,8135.0,7960.5,8131.5
87,05/08/2000,00:00,8136.5,8157.5,8008.5,8028.0
88,05/09/2000,00:00,8015.5,8031.0,7853.0,7882.5
89,05/10/2000,00:00,7855.5,7957.5,7723.5,7747.5
90,05/11/2000,00:00,7688.5,7904.5,7637.0,7898.5
91,05/12/2000,00:00,7896.5,7955.5,7825.0,7888.0
92,05/15/2000,00:00,7899.5,7899.5,7814.5,7825.5
93,05/16/2000,00:00,7886.5,8025.5,7874.0,8008.5
94,05/17/2000,00:00,7971.5,7971.5,7815.5,7834.5
95,05/18/2000,00:00,7810.5,7882.5,7775.5,7780.5
96,05/19/2000,00:00,7773.5,7773.5,7574.0,7616.0
97,05/22/2000,00:00,7608.5,7660.5,7441.0,7541.0
98,05/23/2000,00:00,7597.5,7639.0,7498.5,7552.5
99,05/24/2000,00:00,7436.5,7489.5,7417.0,7468.5
100,05/25/2000,00:00,7518.5,7618.0,7503.5,7567.5
101,05/26/2000,00:00,7487.5,7594.0,7446.5,7563.5
102,05/29/2000,00:00,7619.5,7648.0,7600.0,7641.5
103,05/30/2000,00:00,7657.5,7773.0,7652.5,7735.5
104,05/31/2000,00:00,7815.5,7820.5,7717.5,7735.5
105,06/01/2000,00:00,7775.5,7895.5,7765.0,7883.5
106,06/02/2000,00:00,7871.5,8075.5,7860.5,8051.5
107,06/05/2000,00:00,8051.5,8061.0,7966.5,8007.5
108,06/06/2000,00:00,8025.5,8080.5,7911.5,7968.0
109,06/07/2000,00:00,7925.5,7939.5,7857.0,7902.5
110,06/08/2000,00:00,7939.5,8003.5,7821.5,7878.5
111,06/09/2000,00:00,7903.5,7970.0,7838.0,7842.5
112,06/12/2000,00:00,7885.5,7926.0,7829.5,7845.5
113,06/13/2000,00:00,7841.5,7920.5,7778.5,7877.5
114,06/14/2000,00:00,7900.5,7985.0,7856.5,7963.5
115,06/15/2000,00:00,7953.5,7997.0,7927.5,7955.5
116,06/16/2000,00:00,8067.0,8070.5,7925.5,7948.0
117,06/19/2000,00:00,7875.5,7915.5,7816.5,7911.0
118,06/20/2000,00:00,7922.0,7952.5,7883.0,7903.0
119,06/21/2000,00:00,7885.5,7923.5,7771.5,7818.5
120,06/22/2000,00:00,7830.5,7855.5,7701.5,7741.5
121,06/23/2000,00:00,7740.5,7761.5,7659.5,7660.5
122,06/26/2000,00:00,7655.5,7769.0,7642.5,7710.5
123,06/27/2000,00:00,7715.5,7743.5,7638.0,7719.0
124,06/28/2000,00:00,7743.5,7747.0,7677.5,7735.5
125,06/29/2000,00:00,7725.5,7725.5,7513.5,7547.5
126,06/30/2000,00:00,7580.5,7625.5,7539.0,7555.5
127,07/03/2000,00:00,7575.5,7634.0,7506.5,7634.0
128,07/04/2000,00:00,7590.5,7648.5,7573.0,7615.5
129,07/05/2000,00:00,7624.5,7760.0,7610.5,7641.5
130,07/06/2000,00:00,7620.5,7648.0,7560.5,7626.0
131,07/07/2000,00:00,7647.0,7722.0,7576.5,7713.5
132,07/10/2000,00:00,7730.0,7793.5,7693.5,7731.5
133,07/11/2000,00:00,7715.5,7727.0,7619.0,7661.5
134,07/12/2000,00:00,7692.0,7764.5,7678.5,7731.0
135,07/13/2000,00:00,7726.5,7854.0,7667.5,7849.5
136,07/14/2000,00:00,7856.5,8003.5,7827.5,7984.5
137,07/17/2000,00:00,8011.0,8085.5,7983.0,8078.5
138,07/18/2000,00:00,8050.5,8115.5,8015.5,8049.5
139,07/19/2000,00:00,8049.5,8056.0,7979.5,8020.5
140,07/20/2000,00:00,7990.5,8150.5,7985.5,8145.5
141,07/21/2000,00:00,8136.5,8155.0,8030.5,8040.0
142,07/24/2000,00:00,8011.0,8086.0,7962.5,7964.5
143,07/25/2000,00:00,7956.5,8012.5,7948.0,7990.5
144,07/26/2000,00:00,8001.5,8010.5,7904.0,7925.5
145,07/27/2000,00:00,7924.5,7983.5,7818.0,7833.0
146,07/28/2000,00:00,7836.5,7876.5,7720.5,7775.5
147,07/31/2000,00:00,7775.5,7902.5,7756.5,7876.5
148,08/01/2000,00:00,7876.5,7881.5,7741.0,7799.5
149,08/02/2000,00:00,7820.5,7846.5,7714.5,7768.5
150,08/03/2000,00:00,7721.5,7741.0,7599.5,7645.5
151,08/04/2000,00:00,7676.5,7750.5,7647.5,7665.5
152,08/07/2000,00:00,7690.5,7779.5,7679.5,7775.5
153,08/08/2000,00:00,7760.5,7835.0,7725.5,7786.5
154,08/09/2000,00:00,7814.5,7906.0,7813.5,7880.5
155,08/10/2000,00:00,7855.5,7951.0,7852.5,7912.5
156,08/11/2000,00:00,7905.5,7967.5,7861.5,7956.5
157,08/14/2000,00:00,7971.5,8004.5,7932.5,7953.5
158,08/15/2000,00:00,7999.5,8010.0,7913.5,7926.0
159,08/16/2000,00:00,7945.5,7998.5,7925.0,7961.5
160,08/17/2000,00:00,7960.5,7968.5,7840.5,7902.5
161,08/18/2000,00:00,7905.5,7954.5,7849.5,7853.0
162,08/21/2000,00:00,7880.5,7880.5,7779.5,7818.5
163,08/22/2000,00:00,7840.5,7916.5,7834.0,7879.5
164,08/23/2000,00:00,7885.5,7885.5,7780.5,7844.5
165,08/24/2000,00:00,7900.5,7906.0,7836.5,7840.5
